26.36,28.29,5.55
26.36,32.16,14.56
26.36,32.16,5.55
26.36,36.03,14.56
26.36,36.03,5.55
26.36,39.9,14.56
26.36,39.9,5.55
28.29,18.62,14.56
28.29,18.62,5.55
28.29,22.49,14.56
28.29,22.49,5.55
28.29,26.36,14.56
28.29,26.36,5.55
28.29,30.23,14.56
28.29,30.23,5.55
28.29,34.1,14.56
28.29,34.1,5.55
28.29,37.96,14.56
28.29,37.96,5.55
30.23,16.68,14.56
30.23,16.68,5.55
30.23,20.55,14.56
30.23,20.55,5.55
30.23,24.42,14.56
30.23,24.42,5.55
30.23,28.29,14.56
30.23,28.29,5.55
30.23,32.16,14.56
30.23,32.16,5.55
30.23,36.03,14.56
30.23,36.03,5.55
30.23,39.9,14.56
30.23,39.9,5.55
32.16,18.62,14.56
32.16,18.62,5.55
32.16,22.49,14.56
32.16,22.49,5.55
32.16,26.36,14.56
32.16,26.36,5.55
32.16,30.23,14.56
32.16,30.23,5.55
32.16,34.1,14.56
32.16,34.1,5.55
32.16,37.96,14.56
32.16,37.96,5.55
34.1,16.68,14.56
34.1,16.68,5.55
34.1,20.55,14.56
34.1,20.55,5.55
34.1,24.42,14.56
34.1,24.42,5.55
34.1,28.29,14.56
34.1,28.29,5.55
34.1,32.16,14.56
34.1,32.16,5.55
34.1,36.03,14.56
34.1,36.03,5.55
34.1,39.9,14.56
34.1,39.9,5.55
36.03,18.62,14.56
36.03,18.62,5.55
36.03,22.49,14.56
36.03,22.49,5.55
36.03,26.36,14.56
36.03,26.36,5.55
36.03,30.23,14.56
36.03,30.23,5.55
36.03,34.1,14.56
36.03,34.1,5.55
36.03,37.96,14.56
36.03,37.96,5.55
37.96,16.68,14.56
37.96,16.68,5.55
37.96,20.55,14.56
37.96,20.55,5.55
37.96,24.42,14.56
37.96,24.42,5.55
37.96,28.29,14.56
37.96,28.29,5.55
37.96,32.16,14.56
37.96,32.16,5.55
37.96,36.03,14.56
37.96,36.03,5.55
37.96,39.9,14.56
37.96,39.9,5.55
39.9,18.62,14.56
39.9,18.62,5.55
39.9,22.49,14.56
39.9,22.49,5.55
39.9,26.36,14.56
39.9,26.36,5.55
39.9,30.23,14.56
39.9,30.23,5.55
39.9,34.1,14.56
